video_name,question_id,if_you_can_answer,your_answer,your_answer_2,your_answer_3,reason,scene_context,speaker's_information,facial_expression,motion,tone_of_voice,other_information,reference_time_start,reference_time_end
b-FX9NOVQOM,q7,no,,,,There is no information about whether the two people on the sides are interested in what the person in the middle is saying.,,1,1,1,,,,
b-FX9NOVQOM,q8,no,,,,The transcript doesn't specify who the woman with the glasses is.,,1,,,,,,
b-FX9NOVQOM,q9,no,,,,The transcript doesn't specify who the person sitting in the middle is.,,1,,,,,,
b-FX9NOVQOM,q10,yes,a2,,,"It is evident that the woman is passionate about what she is talking about, as she repeatedly emphasizes how they should care for each other and strongly wishes for them to understand her message by asking, \""You know what I’m saying?\""",,,,,,,0,56
b-FX9NOVQOM,q11,no,,,,The text doesn't specify who the person in red is.,,1,,,,,,
b0HfnujtmSI,q1,yes,a0,,,"The woman is not nervous around the man. I can tell that because she is trying to encourage him, and there isn't any stuttering in her speech.",,,,,,,0,59
b0HfnujtmSI,q2,yes,a3,,,"The woman tells the man that things could go both ways and that he might have had a chance. This suggests that the man looks down because he realizes she is right, and he has to make a move.",,,,,,,54,59
b0HfnujtmSI,q3,yes,a0,,,"The woman is trying to encourage the man by saying that there was something between him and the girl he is pursuing. She also tells him that he doesn’t know his odds and might still have a chance, even after he gave up, which suggests that she is trying to help him.",,,,,,,42,59
b0HfnujtmSI,q4,no,,,,"It's unclear why the man keeps nodding while talking to the woman, just by reading the transcript.",,,,1,,,,
b0HfnujtmSI,q5,no,,,,I can't tell why the man laughs because the transcript doesn't state when the man stands up.,,,1,1,,,,
b0HfnujtmSI,q6,no,,,,"The transcript ends after the woman stops talking, so I can't know whether the man accepts what she said or not.",1,,,,,,,
B1VB7vVQNQg,q1,no,,,,The transcript doesn't say what the driver thinks about his cars.,,1,,,,,,
B1VB7vVQNQg,q2,yes,a3,,,"The guy sitting in the back claims that the car sounds a lot different from the back seat and suggests that the driver should sit in the back and listen, implying that he wants to switch places and drive the car himself",,,,,,,35,37
B1VB7vVQNQg,q3,no,,,,The transcript doesn't provide information on why the woman makes a weird face.,,,1,,,,,
B1VB7vVQNQg,q4,no,,,,The transcript doesn't provide information on the woman's expression at the beginning of the video.,,,1,,,,,
B1VB7vVQNQg,q5,no,,,,The transcript doesn't provide any context on the relationship between the men.,1,,,,,,,
Bd_vAawM9LA,q1,yes,a0,,,"The host claims that the policies will take the tax plans back to the 1930s, an era he sarcastically calls 'the great happiness.' However, he is being cynical since that era is actually called the Great Depression, which was a difficult time, suggesting that he doesn't believe the policies will work.",,,,,,,17,26
Bd_vAawM9LA,q2,no,,,,"The transcript doesn’t say who the man in the black tie is, so I cannot determine what characterizes his remarks.",,1,,,,,,
Bd_vAawM9LA,q3,yes,a3,,,The speech in the transcript suggests that the man is discussing policies introduced by the president and is not speaking directly to him.,,,,,,,0,26
Bd_vAawM9LA,q4,no,,,,I cannot determine why the man does that motion just by reading the transcript.,,,,1,,,,
Bd_vAawM9LA,q5,yes,a2,,,"The man calls the 1930s an era of \""great happiness\"",but that era is actually known as the Great Depression, which is why the crowd laughs.",,,,,,,17,26
Bd_vAawM9LA,q6,no,,,,The transcript doesn't describe who the man with the blond hair is.,,1,,,,,,
Bd_vAawM9LA,q7,yes,a2,,,"The man speaking at the beginning describes how taxes are going to change and be the lowest in 80 years, which is a significant decrease. From this, I can infer that he is passionate and excited about the change.",,,,,,,0,16
Bd_vAawM9LA,q8,no,,,,I cannot determine the reason why the talk show is reviewing the clip just by reading the transcript.,1,,,,,,,
BEOdicifuqM,q1,yes,a0,,,I can determine that the man is surprised by the woman's story since he asks an exaggerated question after she tells him her parents didn't teach her many things.,,,,,,,31,58
BEOdicifuqM,q2,yes,a2,,,"The lady laughs because her parents didn't want to get up and take her to school, which is unusual for parents.",,,,,,,12,22
BEOdicifuqM,q3,yes,a3,,,"The woman actually wanted to get up and go to school, but her parents didn't want to get up and take her there.",,,,,,,9,28
BEOdicifuqM,q4,yes,a0,,,"It is obvious that the woman can read, but he asked an exaggerated question for comedic effect.",,,,,,,39,60
BEOdicifuqM,q5,yes,a0,,,"The woman is surprised because everyone else in her family knows how to play an instrument, yet no one ever taught her how to play one.",,,,,,,34,38
BEOdicifuqM,q6,yes,a2,,,The woman is slightly embarrassed by how her family raised her because she feels like she isn't quite normal or like her family.,,,,,,,9,60
BEOdicifuqM,q7,yes,a0,,,"It is evident that the two people are having a good time, as the man is making comedic remarks and the woman is talking about how her parents raised her.",,,,,,,9,60
BEOdicifuqM,q8,yes,a1,,,"The man asked a funny question, causing the woman to laugh for an extended period of time.",,,,,,,49,58
BEOdicifuqM,q9,no,,,,"If the transcript doesn't include any information about the woman's reaction, including whether she laughed or not, it's impossible to determine if the man was successful.",,,1,,,,,
BEOdicifuqM,q10,yes,a1,,,"The man asked a funny question, causing the woman to laugh.",,,,,,,49,58
BEOdicifuqM,q11,yes,a0,a3,,"The woman laughs because her parents raised her in an unusual way, and the man's funny questions about her upbringing highlight the oddness, making her laugh.",,,,,,,9,58
BEOdicifuqM,q12,no,,,,It's impossible to determine why the people who play the instruments wave just by reading the transcript.,,,,1,,,,
BEOdicifuqM,q13,yes,a2,,,"The man asked an exaggerated question that the woman did not expect, which caused her to laugh.",,,,,,,49,58
BEOdicifuqM,q14,yes,a3,,,"The woman finds the man's teasing amusing, as she goes along with his question and humorously replies with \""they spared me\"" when asked if her parents passed their lifestyle to her, showing that she enjoys the conversation.",,,,,,,9,60
BEOdicifuqM,q15,yes,a3,,,She laughed because everyone else in her family is able to play an instrument except for her.,,,,,,,31,38
BEOdicifuqM,q16,yes,a2,,,"The conversation is personal and friendly, featuring funny and exaggerated questions answered in a non-serious manner.",,,,,,,9,60
BEOdicifuqM,q17,no,,,,It is impossible to determine why the people of the band nod just by reading the transcript.,,,,1,,,,
BEOdicifuqM,q18,yes,a0,a1,,"The man and woman are having a humorous conversation, which suggests that they feel comfortable and are not afraid to discuss various aspects of the woman's upbringing.",,,,,,,9,60
BEOdicifuqM,q19,yes,a3,,,The woman is being honest by answering all of the man's questions truthfully.,,,,,,,9,60
BEOdicifuqM,q20,yes,a0,,,"The man's final two questions are exaggerated and asked in a humorous manner, suggesting that he hopes they will make people laugh.",,,,,,,49,58
BEOdicifuqM,q21,yes,a0,a1,a3,The man and the woman laugh because the man asks funny questions about the education she received from her parents.,,,,,,,9,60
BEOdicifuqM,q22,no,,,,The text doesn't specify who the person in purple is.,,1,,,,,,
BEOdicifuqM,q23,no,,,,It's impossible to determine the reason for the woman's tone changes during the conversation just by reading the transcript.,,,,,1,,,
BEOdicifuqM,q24,yes,a1,,,"It's evident that the man and woman like each other, given the fun and friendly atmosphere of their conversation.",,,,,,,0,60
BEOdicifuqM,q25,yes,a0,,,"It's evident that the man is having fun, as he makes funny remarks and questions throughout the conversation.",,,,,,,9,58
BEOdicifuqM,q26,yes,a3,,,"The man finds the woman's answer funny and responds by asking even more exaggerated questions, such as whether she knows how to read.",,,,,,,45,58
BFqy1s_4x8Q,q1,yes,a2,,,"When the other woman mentions that they are doing it too, the woman in white completely disagrees, insisting that it is a different thing.",,,,,,,17,21
BFqy1s_4x8Q,q2,no,,,,"It is impossible to determine why the woman's voice quivers as she said \""Vivian\"" just by reading the transcript.",,,,,1,,,
BFqy1s_4x8Q,q3,yes,a2,,,The woman in white feels disrespected and hurt by the other woman's comment at the end.,,,,,,,52,59
BFqy1s_4x8Q,q4,yes,a1,,,"The people are discussing a topic on which they have differing opinions, creating a tense and uncomfortable atmosphere.",,,,,,,0,59
BFqy1s_4x8Q,q5,no,,,,It is impossible to know who the woman in white is and who the couple on the couch is just by reading the transcript.,,1,,,,,,
BFqy1s_4x8Q,q6,yes,a0,,,"The situation becomes tense after one comment causes a disagreement, making someone say \""what's that supposed to mean\"" which is an aggressive response. ",,,,,,,48,59
bJK9E08dNpE,q1,yes,a1,,,"\""Oh man\"" is an expression of disappointment, and tilting your head is also a common gesture associated with feeling disappointed. Thus, it can be inferred that the man feels disappointed when he says \“oh man\” at the beginning of the video.",,,,,,,0,3
bMuoPr5-Yt4,q1,yes,a1,,,I can tell the woman is concerned about her community because she is very knowledgeable about and caring toward the situation in her community.,,,,,,,2,60
bMuoPr5-Yt4,q2,no,,,,"Since the transcript doesn't include the woman's point or the reaction of others, it's not possible to determine whether she was successful in explaining it.",1,1,,,,,,
bMuoPr5-Yt4,q3,no,,,,"There isn't any context or information about how the man is treating the woman, so I can't determine whether he is respectful towards her or not.",1,1,,,,,,
bMuoPr5-Yt4,q4,no,,,,It is impossible to know why the woman's eyebrows are furrowed just by reading the transcript.,,,1,1,,,,
bMuoPr5-Yt4,q5,no,,,,"It is impossible to determine why the woman paused after saying \""bus route\"" just by reading the transcript.",,,,,1,,,
BTx-iiFZhFE,q1,yes,a0,,,The girls feel scared since they almost got into a car accident.,,,,,,,0,31
BTx-iiFZhFE,q4,yes,a1,,,They talk to each other in a frantic manner because they are still shocked that they almost got into a car accident.,,,,,,,0,31
BTx-iiFZhFE,q2,no,,,,It is impossible to determine who the front seat passenger is just by reading the transcript.,,1,,,,,,
BTx-iiFZhFE,q3,yes,a3,,,"\""Pay attention\"" is a term used to urge someone to focus. By saying \""Pay attention\"", she is asking the driver to concentrate on their driving.",,,,,,,38,44
BX_0-SoMDcg,q1,yes,a1,,,He didn't think it was necessary since they were still in the parking lot.,,,,,,,0,3
BX_0-SoMDcg,q4,yes,a3,,,"Since they were still in the parking lot, the man didn't feel the necessity to put on a seat belt.",,,,,,,0,3
BX_0-SoMDcg,q2,yes,a3,,,"The woman wants the man to stop talking and making excuses, so she puts her palm up and signals for him to stop.",,,,,,,29,45
BX_0-SoMDcg,q5,yes,a1,,,"The woman is afraid something might happen to the man, so she urges him to put on a seat belt.",,,,,,,0,3
BX_0-SoMDcg,q3,no,,,,I cannot tell the reason why the man puts his hands on his face after commenting on the woman's makeup just by reading the transcript.,,,,1,,,,
C2PneBztZ3g,q1,no,,,,The transcript doesn’t give any indication about how the man feels about the story.,,1,,,,,,
C2PneBztZ3g,q2,no,,,,The transcript doesn’t give any indication about how the man feels about the story.,,1,,,,,,
C2PneBztZ3g,q3,yes,a1,,,The woman is excited to go to the swamp and tries to convince her friend that everything is going to be okay and that they will have fun.,,,,,,,9,34
C2PneBztZ3g,q4,yes,a0,a1,,"The person she was talking to in her anecdote was hesitant and didn't want to go to the swamp, so the woman told them it would be fine and that they would have a good time.",,,,,,,9,34
C2PneBztZ3g,q5,yes,a3,,,"Judging by the transcript, the woman likes telling her story because she explains it in great detail and asks questions like \""We go, right?\"" to ensure the listeners are engaged.",,,,,,,0,59
C2PneBztZ3g,q6,yes,a2,,,"The woman is telling a funny anecdote in the transcript, so I understand that this is her goal.",,,,,,,0,59
C2PneBztZ3g,q7,yes,a0,,,The woman is telling a funny anecdote with great passion and excitement.,,,,,,,0,59
C2PneBztZ3g,q8,no,,,,"It's impossible to understand how the woman changes the perspectives in her story just by reading the transcript, as I cannot discern the changes in tone.",,,,,1,,,
C2PneBztZ3g,q9,no,,,,I can't tell why the woman opens her palms and moves around as she speaks just by reading the transcript.,,,,1,,,,
C2PneBztZ3g,q10,no,,,,The transcript doesn't describe the relationship between the man and the woman.,1,1,,,,,,
C2PneBztZ3g,q11,no,,,,The transcript doesn’t indicate what Jimmy thinks about his guest’s story.,1,1,,,,,,
cQREa5Y-jqk,q1,no,,,,There is no indication in the transcript as to why the woman starts laughing,,,1,,,,,
cQREa5Y-jqk,q2,yes,a2,,,The woman thinks it’s amazing that he’s not relying on caffeine and believes he might be the only journalist she knows who doesn’t drink coffee.,,,,,,,48,51
cQREa5Y-jqk,q3,no,,,,There isn't any indication in the transcript that the woman shows empathy towards the man.,,,1,,1,,,
cQREa5Y-jqk,q4,yes,a3,,,The man tells a story about his childhood and explains honestly why he cannot drink coffee.,,,,,,,13,52
cQREa5Y-jqk,q5,yes,a0,,,"The man shares a personal anecdote from his childhood, describing how he broke down crying after drinking coffee and missing his mom, which was a very vulnerable moment for him as he remembers it to this day.",,,,,,,15,42
cQREa5Y-jqk,q6,yes,a2,,,"I can tell the woman is interested in the story since she is surprised by the outcome, stating that it is amazing and that she doesn’t know any other journalist who doesn’t drink coffee.",,,,,,,48,51
cQREa5Y-jqk,q7,yes,a1,,,"The woman feels suprised, she thinks it’s amazing that he’s not relying on caffeine and believes he might be the only journalist she knows who doesn’t drink coffee.",,,,,,,48,51
cQREa5Y-jqk,q8,yes,a0,,,"The man and woman are having a conversation about energy drinks, which is a light-hearted topic. Therefore, I understand that the mood and tone are relaxed and not serious.",,,,,,,0,59
cQREa5Y-jqk,q9,yes,a0,,,"I can tell the woman is amused by his story, as she didn’t expect the outcome. She sounds surprised and says he is the first journalist she knows who doesn’t drink coffee.",,,,,,,48,51
cQREa5Y-jqk,q10,yes,a1,,,The woman says she likes to drink coffee and prefers it over other energy drinks.,,,,,,,0,9
cQREa5Y-jqk,q11,yes,a1,,,"I can tell the woman is surprised by the outcome of the story, stating that it is amazing. She is also impressed, as she doesn’t know any other journalist who doesn’t drink coffee.",,,,,,,48,51
cQREa5Y-jqk,q12,yes,a3,a1,,"The man is opening up to the woman by sharing a story from his childhood, which implies that he feels comfortable around her. The woman uses casual and informal speech, indicating that they are both comfortable around each other.",,,,,,,15,48
cQREa5Y-jqk,q13,yes,a0,a1,,"The man blames coffee for causing him to be overwhelmed with emotion and energy, which was an unexpected reaction to drinking it.",,,,,,,19,42
cQREa5Y-jqk,q14,yes,a0,,,"The man is opening up to the woman by sharing a story from his childhood, which implies that he feels comfortable around her. The woman uses casual and informal speech, indicating that they are both comfortable around each other.",,,,,,,0,59
cQREa5Y-jqk,q15,yes,a3,,,The woman states she doesn't drink energy drinks.,,,,,,,0,6
cQREa5Y-jqk,q16,no,,,,It's impossible to know why the woman pauses before answering the man's question just by reading the transcript.,,,1,,1,,,
cQREa5Y-jqk,q17,yes,a0,,,The man and the woman are having a conversation about whether they drink energy drinks or coffee.,,,,,,,0,59
cQREa5Y-jqk,q18,no,,,,It is impossible to determine the man's body language at 0:51 just by reading the transcript.,,,,1,,,,
cQREa5Y-jqk,q19,yes,a0,,,"The woman replies to the question by saying, \""Honestly, no\"" which suggests her answer might be different from what the man is expecting, possibly causing her to feel embarrassed.",,,,,,,0,6
cQREa5Y-jqk,q20,no,,,,I cannot determine how the man demonstrates agreement just by reading the transcript.,,,1,1,1,,,
cQREa5Y-jqk,q21,no,,,,The transcript does not state how the woman feels when the man says he started bawling after finishing the cup of coffee.,,,1,1,1,,,
cQREa5Y-jqk,q22,yes,a3,,,"The man is opening up to the woman by sharing a story from his childhood, which implies that he feels comfortable around her. The woman uses casual and informal speech, indicating that they both feel friendly towards each other.",,,,,,,0,59
cQREa5Y-jqk,q23,yes,a3,,,"I can tell that the woman is surprised by the outcome, as she states that it is amazing and that she doesn’t know any other journalist who doesn’t drink coffee.",,,,,,,48,51
ctHj7R35dL0,q1,no,,,,The transcript doesn't include any information about how the man in the blue suit reacts to what the man has to say about tipping.,,,1,1,,,,
ctHj7R35dL0,q2,no,,,,The transcript doesn't include any information about how the man in the blue suit reacts to what the man has to say about tipping.,,,1,1,,,,
ctHj7R35dL0,q3,yes,a2,,,"After being told that he doesn’t tip, the man starts denying the statement and talks about his tipping habits.",,,,,,,37,57
ctHj7R35dL0,q4,no,,,,The transcript doesn’t include any information about how the man in the blue suit feels about the other man’s metaphor about corporations and the government.,,1,,,,,,
ctHj7R35dL0,q5,no,,,,The transcript doesn’t include any information about how the man in the blue tie feels when the man in the red tie is behind him.,1,,1,1,,,,
CuDdMyf639Q,q1,no,,,,I cannot determine why the woman waves her hands at 0:02 just by reading the transcript.,,,,1,,,,
CuDdMyf639Q,q2,yes,a0,,,"The woman in the black dress reads a romantic letter sent to her from the computer, so the blonde woman is putting her hands on her chest as she is excited to hear what the letter says.",,,,,,,6,25
CuDdMyf639Q,q3,no,,,,I cannot determine why the woman rolls her eyes at 0:20 just by reading the transcript.,,,1,1,1,,,
CuDdMyf639Q,q4,yes,a3,,,"The woman with the short blonde hair seems surprised when the woman in the blue shirt says she had the same dream, responding with \""Really?\"". Later on, she seems annoyed, stating that she doesn’t think she had the same dream, which indicates she is irritated by what was said.",,,,,,,52,59
CuDdMyf639Q,q5,no,,,,I cannot determine the tone of the woman in the black dress just by reading the transcript.,,,,,1,,,
CYZ3phylT7Y,q1,yes,a0,,,"The man feels his life didnt turn out the way he wanted it to. He says that if the other man doesn’t ask the girl out, he’s going to end up like him, which suggests he regrets his own life choices.",,,,,,,15,37
CYZ3phylT7Y,q2,yes,a2,a3,,"The two men seem friendly with each other. One man is encouraging the other and giving him advice, while the other man is confident in sharing his feelings with him.",,,,,,,0,51
CYZ3phylT7Y,q3,yes,a0,,,"The man lacks confidence and believes he’s going to get rejected, so he thinks it’s a bad idea to ask the girl out.",,,,,,,15,31
CYZ3phylT7Y,q4,no,,,,I can't determine why the man puts his hands up at 0:44 just by reading the transcript.,,,,1,,,,
CYZ3phylT7Y,q5,no,,,,The transcript doesn't describe why the man with the basketball is laying on the floor.,1,,,1,,,,
d89i7OY2yTw,q1,no,,,,The transcript doesn't reveal who the woman in the white shirt is.,,1,,,,,,
d89i7OY2yTw,q2,no,,,,I can’t determine why the man in the maroon forms an O with his lips and brings his hands to his face just by reading the transcript.,,,1,1,,,,
d89i7OY2yTw,q3,yes,a3,,,"The transcript suggests that the person calls the other person an animal after they start eating, implying that this is due to their eating behavior.",,,,,,,32,47
d89i7OY2yTw,q4,no,,,,The transcript doesn’t provide context for the relationship between the people.,1,,,,,,,
d89i7OY2yTw,q5,no,,,,The transcript doesn't reveal who the woman in the orange is.,,1,,,,,,
DGLGNr9M7fY,q1,yes,a0,,,The woman welcomes Jack Malick to her little beach shack by spreading her arms wide in greeting.,,,,,,,0,6
DGLGNr9M7fY,q2,yes,a0,,,The woman is excited to see the man and greets him with a hug.,,,,,,,0,10
DGLGNr9M7fY,q3,no,,,,I cannot determine what the woman is trying to do by clasping her hands just by reading the transcript.,,,,1,,,,
DGLGNr9M7fY,q4,yes,a0,,,"After greeting the man, the woman examines his physical appearance, describing him as skinny yet somehow round and commenting that he is out of shape.",,,,,,,0,21
DGLGNr9M7fY,q5,no,,,,"The transcript doesn’t specify when the woman tilts her head, so there is no context for what she means by doing it.",,,,1,,,,
DMo2qyKq4_w,q1,yes,a0,a1,a3,"The transcript suggests that the woman was asked if a person named Dupree can stay at their house, and she reacts with surprise, saying, \""Dupree? With us?\""",,,,,,,0,2
DMo2qyKq4_w,q2,no,,,,The transcript doesn't indicate why the woman gets out of bed.,,,,1,,,,
DMo2qyKq4_w,q3,no,,,,"The transcript doesn’t indicate when the woman rolls her eyes, so I can’t determine why she is doing it.",,,1,1,,,,
DMo2qyKq4_w,q4,yes,a0,,,"The man pauses while talking to the woman and asks, \""What’s all this?\"" which suggests he is surprised by something he sees. From this, I understand that he realizes the room is decorated differently.",,,,,,,20,29
DMo2qyKq4_w,q5,yes,a2,,,The man wants to give money to his friend so he can stay at a motel instead of staying at their house.,,,,,,,57,59
dU7L1hvMx9Y,q1,yes,a0,,,The woman is happy that the other woman is in the room since she helped her get a can opener.,,,,,,,0,13
dU7L1hvMx9Y,q2,yes,a1,a2,,The boy states that he is helping set up the chairs and tables for the wedding hence he is carrying salt shakers.,,,,,,,31,46
dU7L1hvMx9Y,q3,yes,a2,,,"Since the people are getting ready to hold a wedding, I can tell that the person with the little boy sitting on his shoulder feels joyful.",,,,,,,23,59
dU7L1hvMx9Y,q4,yes,a0,,,"The woman holding the child is making a light-hearted joke by saying \""Oh who doesn't\"", implying that all kids want to go straight to dessert.",,,,,,,46,53
dU7L1hvMx9Y,q5,no,,,,The text doesn't reveal who the woman in black is so I cannot tell why she is laughing.,,1,1,,,,,
dVAB7Li_7qo,q1,yes,a1,,,"I can tell the woman is furious because she repeatedly says \""No,\"" while telling the man that he is not supposed to be in the room.",,,,,,,0,7
dVAB7Li_7qo,q2,yes,a2,,,The man gestures angrily towards the papers to emphasize that the woman hasn’t written her vows yet and that he is upset about it.,,,,,,,9,23
dVAB7Li_7qo,q3,yes,a2,,,The situation escalates as both the woman and the man are upset at each other at the end of the transcript.,,,,,,,0,60
dVAB7Li_7qo,q4,yes,a3,,,"The man appears more mature compared to the woman, who uses foul language to lash out at him.",,,,,,,44,58
dVAB7Li_7qo,q5,no,,,,I cannot tell whether the woman loves the man or not just by reading the transcript.,1,1,,,,,,
dVAB7Li_7qo,q6,yes,a3,,,"The woman doesn’t take the man’s protest seriously and instead tries to blame him, saying that he usually wouldn’t care about these sorts of things.",,,,,,,46,58
dzYHXvrsOWk,q1,yes,a2,,,"I can tell the man is not mad at the woman when she gets distracted, as the transcript lacks exclamation marks to indicate anger.",,,,,,,0,5
dzYHXvrsOWk,q4,yes,a2,,,"The man is telling the woman to slow down because she is driving too fast, which is illegal and might attract the attention of the police.",,,,,,,3,12
dzYHXvrsOWk,q2,no,,,,I cannot determine why the woman puts a finger up to the man just by reading the transcript.,,,,1,,,,
dzYHXvrsOWk,q3,yes,a1,,,"The man is trying to give the woman instructions on how to drive, so by putting his hand on the wheel, he is attempting to help her control the car.",,,,,,,3,59
dzYHXvrsOWk,q5,yes,a2,,,"The woman is learning how to drive, so the man gives her advice by describing how to approach the stop sign so she can pass the truck.",,,,,,,24,46
E04Y4GSg9BI,q1,yes,a3,,,The child seems comfortable with the woman as they joke around with each other.,,,,,,,0,29
E04Y4GSg9BI,q2,yes,a3,,,The child is silent when the woman guesses her favorite animal because she needs time to think. I can tell this because the woman has to confirm again whether her guess is correct due to the long silence.,,,,,,,22,41
E04Y4GSg9BI,q3,yes,a1,,,I can tell the woman is happy the child guessed her favorite animal correctly because there is an exclamation mark.,,,,,,,44,47
epy3Dy2FUOI,q1,no,,,,"The transcript doesn’t say who the woman in blue is, so I cannot determine how she is reacting to the topic.",,1,,,,,,
epy3Dy2FUOI,q2,yes,a1,,,"The woman says that CEOs of large financial firms told their shareholders that the firms are performing well and improving with the fiduciary rule in place, which supports her claim that startups are doing well.",,,,,,,15,39
epy3Dy2FUOI,q3,no,,,,I cannot determine the woman's tone just by reading the transcript.,,,,,1,,,
epy3Dy2FUOI,q4,yes,a3,,,"I can determine that the woman is engaged due to her long speech and that she is calm, based on the lack of exclamation marks in the transcript.",,,,,,,0,59
epy3Dy2FUOI,q5,no,,,,I cannot tell why the woman keeps looking at a certain way just by reading the transcript.,1,,,1,,,,
epy3Dy2FUOI,q6,yes,a2,,,The woman is demonstrating her stance by explaining the new rule and then saying that the Chamber of Commerce is trying to undermine it.,,,,,,,31,59
epy3Dy2FUOI,q7,no,,,,"The transcript doesn't provide information on who the man in the suit is, so I cannot tell when he is talking.",,1,,,,,,
epy3Dy2FUOI,q8,no,,,,The transcript doesn’t describe the woman’s feelings regarding startups.,,1,,,,,,
epy3Dy2FUOI,q9,yes,a0,,,"The woman shows her concern about the financial industry by saying that \""The Chamber of Commerce is running around like a chicken with his head cut off trying to kill the rule\"".",,,,,,,31,59
epy3Dy2FUOI,q10,no,,,,The transcript doesn't describe the man's role.,1,1,,,,,,
epy3Dy2FUOI,q11,no,,,,The transcript doesn't include information about how the woman thinks about the man.,1,1,,,,,,
epy3Dy2FUOI,q12,no,,,,I cannot tell how the man is presenting himself just by reading the transcript.,,1,,,,,,
epy3Dy2FUOI,q13,yes,a1,a2,,"The man is speaking in a serious tone, as indicated by his discussion of a serious topic and the important claims he is making about it.",,,,,,,0,39
epy3Dy2FUOI,q14,no,,,,I cannot determine whether the woman agrees or disagrees with the man just by reading the transcript.,1,1,,,,,,
epy3Dy2FUOI,q15,yes,a0,,,"The man is discussing a serious topic, so he remains mostly still while speaking to appear factual and reasonable, which helps him gain trust.",,,,,,,0,59
epy3Dy2FUOI,q16,no,,,,I cannot determine why the woman leans forward just by reading the transcript.,,,,1,,,,
epy3Dy2FUOI,q17,no,,,,The transcript doesn't describe why the man's gaze is directed in a certain way.,1,,,1,,,,
epy3Dy2FUOI,q18,no,,,,The transcript doesn't include information that can help me determine why the woman looks down sometimes.,,,,1,,,,
epy3Dy2FUOI,q19,yes,a0,a1,,"Both people are using professional and formal language to express their points, indicating that they are speaking to each other in a professional manner.",,,,,,,0,59
epy3Dy2FUOI,q20,no,,,,"The transcript doesn’t include any exclamation marks, so I cannot determine whether the woman raises her voice or uses body language to communicate her strong feelings about her stance.",,,1,1,1,,,
EqXKrS3gPN4,q1,no,,,,The transcript doesn't describe vocal inflections or emotions. Auditory and visual cues would be necessary to assess the speakers' tone.,,,1,,1,,,
EqXKrS3gPN4,q2,yes,a3,,,"Mufoiza introduces herself and states she will present about facing challenges in moving to a new country, which likely includes language experiences.",,,,,,,9,17
EqXKrS3gPN4,q3,yes,a3,,,"The dialogue includes personal experiences and opinions about language, accents, and moving to a new country, indicating a sharing of experiences and views.",,,,,,,18,60
EqXKrS3gPN4,q4,yes,a1,,,"The speakers express their views on language, accent, and education with conviction, suggesting they believe their opinions are valuable to the discussion.",,,,,,,31,58
EqXKrS3gPN4,q5,yes,a0,,,"The conversation appears to be an objective discussion of language and cultural experiences, without strong emotional indicators, suggesting a neutral overall mood.",,,,,,,0,60
EWSHsRBP88Y,q1,yes,a2,,,"The man in the blue suit asks detailed, well-researched questions and maintains a professional tone throughout the conversation, indicating a calculated approach.",,,,,,,18,32
EWSHsRBP88Y,q2,no,,,,The transcript doesn't describe any smiling. Visual information would be necessary to observe and interpret such facial expressions.,,,1,,,,,
EWSHsRBP88Y,q3,yes,a1,,,"The man in the brown shirt provides direct, concise answers without showing strong emotions, suggesting a polite and matter-of-fact tone.",,,,,,,10,44
EWSHsRBP88Y,q4,yes,a3,,,"The man in the brown shirt preemptively provides information about Sheila Saunders, anticipating the investigator's next question.",,,,,,,37,44
EWSHsRBP88Y,q5,yes,a2,,,"The pause before answering suggests he's carefully considering the photo, likely to ensure his response is accurate.",,,,,,,53,59
F4rSKCXqEw0,q1,yes,a0,,,"The women use humor throughout their speech, making jokes about the audience, the event, and themselves, indicating a non-serious, comedic approach.",,,,,,,0,59
F4rSKCXqEw0,q2,yes,a3,,,"The speakers make several humorous remarks about the event and attendees, suggesting a light-hearted, joking atmosphere.",,,,,,,1,23
F4rSKCXqEw0,q3,no,,,,The transcript doesn't describe any physical gestures like fist bumps. Visual information would be necessary to observe and interpret such actions.,1,,,1,,,,
F4rSKCXqEw0,q4,yes,a1,,,"Despite joking about being nemeses, their banter and collaborative presentation style suggest a friendly relationship.",,,,,,,28,43
F4rSKCXqEw0,q5,yes,a2,,,"The women refers to \""this room\"" and make jokes about the audience present, indicating they are speaking to a large live audience at an event.",,,,,,,6,23
fMxA90YU2Jw,q1,no,,,,The transcript doesn't provide information about the woman's non-verbal behavior. Visual cues would be necessary to interpret her demeanor.,,,1,1,,,,
fMxA90YU2Jw,q2,yes,a0,,,"The woman repeats \""ungrateful\"" multiple times in a questioning tone, suggesting disbelief and shock at being called ungrateful.",,,,,,,15,22
fMxA90YU2Jw,q3,no,,,,The transcript doesn't describe any actions with ties. Visual information would be necessary to observe and interpret such gestures.,1,,,1,,,,
fMxA90YU2Jw,q4,no,,,,The text doesn't describe any finger-pointing actions. Visual cues would be needed to interpret such non-verbal communication.,1,,,1,,,,
fMxA90YU2Jw,q5,yes,a1,,,"The man expresses that he's become dependent on the woman's opinions for decision-making, indicating a sense of helplessness without her input.",,,,,,,48,55
G4RvOmNedls,q1,yes,a0,,,The daughter's response and need to prompt her father for an introduction suggest surprise and confusion about the unexpected guest.,,,,,,,24,39
G4RvOmNedls,q2,no,,,,The transcript doesn't describe any repeated looking behavior. Visual information would be necessary to observe and interpret such actions.,1,,,1,,,,
