video_name,question_id,if_you_can_answer,your_answer,your_answer_2,your_answer_3,reason,contents_of_conversation,scene_context,speaker's_information,facial_expression,motion,tone_of_voice,other_information,reference_time_start,reference_time_end
ahcAFnY6iAY,q7,yes,a0,a2,a3,"The man's tone, laden with passion, reflects his active engagement as he endeavors to convey those emotions to the audience. His increased use of gestures likely stems from being deeply moved by the story, further intensifying his expression.",1,,,,1,1,,0,59
ahcAFnY6iAY,q8,yes,a2,,,"This question is similar to the previous one, but a2 is the only appropriate answer. His tone throughout the speech clearly reveals that he is passionate and emotional about his own speech.",,,,,1,1,,0,59
ahcAFnY6iAY,q9,yes,a2,,,The man refers to body parts in his speech about reconstructive surgery and uses gestures to outline his own body in order to emphasize his points.,1,,,,1,,,56,59
ahcAFnY6iAY,q10,yes,a1,,,"As mentioned previously, it is evident that the man is passionate about the topic, and it is common for individuals to express such emotion through body language.",,,,,1,,,0,59
ahcAFnY6iAY,q11,yes,a0,,,"The quote, \""We think we have a prospect of curing between 10 and 20% of these 8-year-old children,\"" suggests that the man is attempting to convey a sense of hope and potential happiness.",1,,,,,,,17,23
AHVKPC22iIY,q1,yes,a2,,,"The boy’s facial expression and tone indicate that he remains calm and unemotional, even though the girl appears nervous. This behavior is typical among teenage boys.",,,,1,,1,,13,20
AHVKPC22iIY,q2,yes,a2,,,"The girl is acting giddy around the boy, often running out of breath while talking and showing visible signs of nervousness. This behavior is typical of someone who has feelings for the person they are interacting with.",1,,,1,,1,,0,59
AHVKPC22iIY,q3,yes,a2,,,"Based on the conversation, it is evident that they have been texting outside of school. Additionally, the girl suggests meeting up to go somewhere, which indicates that they are close.",1,,,,,,,0,59
AHVKPC22iIY,q4,yes,a2,,,"The man addressed the girl by name with a serious tone, raising his voice slightly to interrupt her as she was rambling due to her nervousness.",1,,,,,1,,14,15
AHVKPC22iIY,q5,yes,a0,,,"From the scene, it is evident that there is romantic tension between them. It can be inferred that she wanted to spend time with him as soon as possible upon realizing that their feelings are mutual.",1,1,,,,,,47,59
aP7X7XLbQx0,q1,yes,a3,,,"Her constant lip-licking and darting eyes suggest impatience. Additionally, she leans toward him, closely observing his face, excited for his reaction.",,,,1,1,,,0,8
aP7X7XLbQx0,q2,yes,a3,,,"The man explicitly stated that he cannot accept the gift because it is far too expensive, and his tone conveyed a negative surprise.",1,,,,,1,,7,23
aP7X7XLbQx0,q3,yes,a0,a2,,"The man clearly stated he had previously bought a book for the woman and cannot accept the watch from her as a gift. His tone suggests that pride, more than mere discomfort, is driving his refusal.",1,,,,,1,,15,22
aP7X7XLbQx0,q4,yes,a3,,,"Despite the man's refusal to accept the gift, she smiles and encourages him to read the inscription, her hopeful expression suggesting she is proud of it.",,,,1,,,,51,53
aP7X7XLbQx0,q5,yes,a0,a2,a3,"Although the video cuts off her reaction, the woman’s face showed worry and fear, with wrinkles forming from her anxiety.",,,,1,,,,58,59
AQX2Q-V2Uh8,q1,yes,a0,,,"Despite being restrained and interrogated, the bald man sarcastically acknowledged their knowledge of him, making exaggerated faces and speaking in a mocking tone.",,1,,1,,1,,22,59
AQX2Q-V2Uh8,q2,yes,a2,,,"In an attempt to verify the information, the man grunts to elicit more details from the interrogators, thinking they are unaware of the actual facts.",,,,1,,1,,54,56
AQX2Q-V2Uh8,q3,yes,a2,,,"In both scenes, the interrogators maintain professionalism, yet the suspect's ironic tone and nonchalant body language and expressions diminish the tension.",,1,,1,1,1,,22,59
AQX2Q-V2Uh8,q4,yes,a1,,,"The interrogator referred to him as a \""mentalist\"" in a mocking tone, but he responded with a smile and a brief \""hm,\"" subtly retaliating and conveying his sarcastic \""nice effort.\""",,,,1,,1,,19,25
AQX2Q-V2Uh8,q5,yes,a2,,,"Knowing that breaking down the word \""mentalism\"" won't aid the interrogation, the man adopts a fake serious tone and fabricates an elaborate explanation, further mocking the interrogators.",1,,,,1,1,,26,40
b-FX9NOVQOM,q1,yes,a2,,,"Both the left and right individuals remain intently focused on the speaker, continually nodding and providing verbal affirmations. They do not pay attention to or make eye contact with each other throughout the entire video, though not intentionally ignoring one another.",,,,,1,1,,0,59
b-FX9NOVQOM,q2,yes,a3,,,"As mentioned, the individuals on the left and right, aside from offering verbal affirmations, do not speak and remain listeners in this situation.",1,,,,,1,,0,59
b-FX9NOVQOM,q3,yes,a1,,,"The full focus on the woman with black hair, characterized by smiling, constant nodding, and verbal affirmations, signifies strong passion and agreement.",,,,1,1,1,,0,59
b-FX9NOVQOM,q4,yes,a2,,,"Based solely on the context, it is evident that the woman in the middle believes the system doesn't care about them, as she has repeatedly emphasized this point throughout her speech.",1,,,,,,,0,59
b-FX9NOVQOM,q5,yes,a1,,,"As previously mentioned, the reaction of the person wearing the beanie indicates complete agreement. She even interjects with \""Right, right\"" at one point.",1,,,1,1,,,0,59
b-FX9NOVQOM,q6,yes,a1,,,"As previously mentioned, the two individuals on either side unequivocally display their agreement by maintaining a steadfast focus on the speaker, continually nodding, and offering verbal affirmations.",1,,,1,1,1,,0,59
b-FX9NOVQOM,q7,yes,a2,,,"Again, the two individuals on either side manifest their keen interest through their reactions throughout the video.",1,,,1,1,1,,0,59
b-FX9NOVQOM,q8,yes,a0,,,"Given the passionate tone of the woman with black hair and her argument about the system, she can be described as an idealistic individual.",1,,,,,1,,0,59
b-FX9NOVQOM,q9,no,,,,The question is nonsensical because the person in the middle is the one delivering the speech.,,,,,,,A better question that reflects the actual scene.,,
b-FX9NOVQOM,q10,yes,a2,,,"The woman's use of tone, hand gestures for emphasis, and her manner of delivering the argument indicate that she is highly emotional about the topic.",1,,,,1,1,,0,59
b-FX9NOVQOM,q11,no,,,,"The question refers to the person in red, but the answer choices all start with \""they.\""",,,,,,,Better answer choices that align with the question.,,
b0HfnujtmSI,q1,yes,a0,,,"The woman's tone is self-assured, and she appears very comfortable speaking to him, reflecting confidence in her offer to help.",1,,,,,1,,0,59
b0HfnujtmSI,q2,yes,a3,,,"At the end of the video, the man looks down and presses his lips together to suppress his emotions upon hearing the unpleasant truth, a reaction frequently observed in such situations.",,,,1,1,,,58,59
b0HfnujtmSI,q3,yes,a0,,,"Based on what the woman says, she is attempting to assist the man by offering advice and presenting the reality of the situation. Her tone is quite confident and can also be regarded as insightful.",1,,,,,1,,0,59
b0HfnujtmSI,q4,yes,a1,,,"The man can be seen nodding throughout the video, not as a sign of agreement, but as a means of emphasizing his emotions. Option a2 is not suitable because the nodding is not solely intended to indicate agreement.",,,,,1,,,0,59
b0HfnujtmSI,q5,yes,a0,,,"Although \""deception\"" may not be the most precise term, the man’s laughter and subsequent action of standing up indicate that he finds her statement to be implausible or absurd. ",,,,1,1,1,,23,26
b0HfnujtmSI,q6,no,,,,"While the man initially resists accepting what the woman is saying, he gradually listens to her and allows her to offer him advice. Consequently, none of the answer choices accurately reflect the situation.",,,,,,,Better answer choices that reflect the actual scene.,,
B1VB7vVQNQg,q1,yes,a2,,,"The man's facial expression while driving his car, coupled with his meticulousness regarding others driving his vehicles, suggests that he is deeply passionate about it.",1,,,1,,,,0,59
B1VB7vVQNQg,q2,no,,,,"The man in the back explicitly says, \""Let me drive it for you,\"" indicating a direct approach. None of the answer choices accurately reflect this.",,,,,,,Better answer choices that reflect the actual scene.,,
B1VB7vVQNQg,q3,yes,a2,,,"The woman's face-scratching and unusual expressions suggest she is uncomfortable with the sudden speeding, which is understandable given that her safety is reliant on the driver's control.",,,,1,,,,10,20
B1VB7vVQNQg,q4,yes,a2,,,"Before the car began moving, the woman appeared relaxed, with a calm facial expression and tone, showing a degree of curiosity.",,,,1,,1,,0,10
B1VB7vVQNQg,q5,yes,a0,,,"The man clearly states that the person in the backseat is the only one who has driven his cars, as he has known him the longest. This demonstrates a high level of trust and closeness.",1,,,,,,,44,59
Bd_vAawM9LA,q1,yes,a0,,,"The talk show host is clearly mocking Trump's policy suggestions, evident from his remarks and tone, implying that they are ineffective.",1,,,,,1,,17,53
Bd_vAawM9LA,q2,yes,a2,,,"The man's tone suggests he is being sarcastic, likely for the audience's entertainment, given that it is a talk show.",,,,,,1,,17,53
Bd_vAawM9LA,q3,yes,a3,,,"Based on the scene depicted in the video, the talk show host is responding to a recorded speech by Trump that is being played back.",,1,,,,,,0,59
Bd_vAawM9LA,q4,no,,,,"The man is acknowledging the staff after delivering a successful joke, and none of the answer choices accurately reflect this.",,,,,,,Better answer choices that reflect the actual scene.,,
Bd_vAawM9LA,q5,yes,a1,,,The audience is clearly laughing at a joke made by the reporter in the suit.,1,1,,,,1,,24,30
Bd_vAawM9LA,q6,yes,a0,,,"The man with blonde hair, Trump, is known for speaking with firmness and volume, a typical tactic used by politicians at political rallies to underscore their points.",,1,1,,,1,,0,16
Bd_vAawM9LA,q7,yes,a2,,,"His confident tone, assertive body posture, and decisive hand gestures clearly convey that he is passionate and excited about the policies.",,,,,1,1,,0,16
Bd_vAawM9LA,q8,yes,a1,a3,,"Given the scene's context and the content of his speech, the host appears to be reviewing the clip to use as material for the talk show.",1,1,,,,,,17,53
BEOdicifuqM,q1,yes,a0,a2,a3,"The video suggests that the man, through various facial expressions and an upbeat tone, felt a mix of surprise, interest, and amusement at the woman's story, intending to entertain the audience with his humorous remarks.",1,,,1,,1,,0,59
BEOdicifuqM,q2,yes,a2,,,"Her tone clearly suggests that she was attempting to tell a humorous story, which is why she laughed.",,,,,,1,,11,22
BEOdicifuqM,q3,yes,a2,,,"The woman’s tone and facial expression, including her laugh, suggest that she simply wants to sleep longer.",,,,1,,1,,28,31
BEOdicifuqM,q4,yes,a0,,,"The woman clearly knows how to read, but given the talk show setting and the subsequent laughter from everyone, it is evident that the man did it for comedic effect.",,1,,,,1,,50,54
BEOdicifuqM,q5,no,,,,"The woman reveals that she is the only member of her family who does not play an instrument. Since she is narrating this fact with no sense of surprise, the question is incongruous with the context.",,,,,,,A better question that reflects the actual scene.,,
BEOdicifuqM,q6,yes,a2,,,"Based on the context, she is somewhat belittling herself. Although she presents it as a humorous anecdote, there is a trace of embarrassment on her face when she laughs.",1,,,1,,1,,0,59
BEOdicifuqM,q7,yes,a0,,,"It is evident that the two people are having a great time, as indicated by their continuous laughter and playful banter.",1,,,1,,,,0,59
BEOdicifuqM,q8,yes,a1,,,"The man asked a humorous and absurd question about whether she knows how to read, which caused her to laugh uncontrollably.",1,,,1,,1,,52,59
BEOdicifuqM,q9,yes,a1,,,"It is evident from the video that the man is deliberately asking humorous questions, which results in continuous laughter from both her and the audience.",1,,,1,,1,,0,59
BEOdicifuqM,q10,yes,a1,,,"As previously mentioned, the woman's laughter is due to the man's entertaining questions.",1,,,1,,1,,0,59
BEOdicifuqM,q11,yes,a0,,,"The woman laughs because she is downplaying herself because of her unconventional upbringing and feels a degree of embarrassment, yet she presents it as a humorous anecdote.",1,,,1,,1,,0,59
BEOdicifuqM,q12,yes,a2,,,"Despite the sentence being cut off at the start, it can be deduced that she is referring to her parents being musicians and she also first addressed them with a casual \""Hi guys.\""",1,1,,,,,,0,8
BEOdicifuqM,q13,yes,a2,,,"The woman laughs at the man’s question because it is absurd in an amusing way, finding the unexpected nature of the question to be funny.",1,,,1,,1,,49,59
BEOdicifuqM,q14,yes,a3,,,"The woman's tone, constant laughter, and smile suggest that she finds the teasing amusing.",,,,1,,1,,49,59
BEOdicifuqM,q15,yes,a3,,,"The subtle, embarrassed laugh reveals that the woman finds it ironic and amusing that she is the only one in the family who does not play an instrument, despite her parents being musicians.",,,,1,,1,,33,40
BEOdicifuqM,q16,yes,a2,,,"The scene from the talk show, characterized by relaxed body posture, humorous questions, and continuous laughter, reflects an informal and friendly conversation.",1,1,,,1,1,,0,59
BEOdicifuqM,q17,yes,a2,,,"The woman commented, \“I mean, it's like that's just how life is,\” referring to her musician parents, while the band nodded in agreement and confirmed with a \""right.\""",1,,,,1,,,23,25
BEOdicifuqM,q18,yes,a0,,,Genuine smiles and laughter throughout a conversation typically indicate that people are comfortable and at ease with each other.,,,,1,,1,,0,59
BEOdicifuqM,q19,yes,a3,,,"The substance of her speech provides insights into her personal life and genuine emotions. Her tone reinforces that she is being straightforward and sincere, without any falsehoods.",1,,,,,1,,0,59
BEOdicifuqM,q20,yes,a0,,,"The man adopts a humorous expression and embraces a deliberately absurd demeanor, which suits the talk show environment perfectly. He likely expects that this will amuse the audience.",1,,,1,,1,,49,59
BEOdicifuqM,q21,yes,a0,a3,,"As previously mentioned, it is clear from the conversation that the laughter stems from the jokes.",1,,,,,,,0,59
BEOdicifuqM,q22,yes,a1,,,"The woman remarked, \“I mean, it's like that's just how life is,\” about her musician parents. The man in purple, also a musician, nodded and replied with \""right,\"" suggesting that he listened and agreed.",1,,,,1,,,23,25
BEOdicifuqM,q23,yes,a2,,,"It is common to abruptly change the tone to convey a humorous story, as also reflected in her facial expressions.",,,,1,,1,,26,31
BEOdicifuqM,q24,no,,,,"Although the two appear friendly with each other, the context of the talk show suggests they are working together. It cannot be determined from this scene alone whether they genuinely like each other or if there is underlying animosity.",,,,,,,Any content revealing their relationship is needed to understand how they feel about each other.,,
BEOdicifuqM,q25,yes,a0,,,"The man's laughter, relentless jokes, and animated expressions indicate he is thoroughly enjoying himself throughout the video.",1,,,1,,1,,0,59
BEOdicifuqM,q26,yes,a3,,,The man's amusement at her response led him to delve further by posing an even more humorous question.,1,,,,,,,43,50
BFqy1s_4x8Q,q1,yes,a0,a2,,"The woman was initially incredulous, thinking they were discussing something unrelated. However, upon confirming the name, her tone shifted from condescending and pretentious to visibly upset as the conversation continued.",1,,,1,,1,,17,59
BFqy1s_4x8Q,q2,yes,a0,,,"The woman’s voice was trembling, indicating her disbelief, which is a common physiological reaction to anxiety.",,,,1,,1,,37,39
BFqy1s_4x8Q,q3,yes,a1,a2,a3,The woman’s aggressive tone of “What’s that supposed to mean?” coupled with her facial expression unmistakably conveys her anger in response to the disrespectful and ironic comment she received.,,,,1,,1,,58,59
BFqy1s_4x8Q,q4,yes,a1,,,"Although the man remains relaxed throughout the video, the woman in white displays noticeable tension with the couple, driven by her somewhat misplaced pride.",,,,1,,1,,0,59
BFqy1s_4x8Q,q5,yes,a0,a3,,The woman's tone and expression shift from pride to anger and disappointment upon learning others had the same opportunity. Her frustration is heightened by the realization that her earlier boasting was unfounded.,1,,,1,,1,,0,59
BFqy1s_4x8Q,q6,yes,a0,,,"The woman’s sudden shift to an aggressive tone after her surprise clearly places the people on the couch in a defensive position, even though they are blameless.",,,,,,1,,42,59
bJK9E08dNpE,q1,yes,a1,,,"The man said, \""Oh man\"" recalling a situation and acting it out, adding, \""And I was like, David, how come? Like, why didn't we do this yesterday?\"" This indicates his disappointment about having to do the thumbnail.",1,,,,,,,0,3
bMuoPr5-Yt4,q1,yes,a1,,,"Based on the content of her conversation and the woman's concerned facial expression, with her eyebrows furrowed, it is clear she is worried about how an aging population affects various aspects of a community.",1,,,1,,1,,0,55
bMuoPr5-Yt4,q2,no,,,,"The woman presented strong arguments, yet none of the answer choices appear to align with the content of the video.",,,,,,,Better answer choices that reflect the actual scene.,,
bMuoPr5-Yt4,q3,yes,a0,a2,,"Given the context of the scene, it is evident that the setting is a professional interview, and the questions posed are appropriate.",,1,,,,,,55,59
bMuoPr5-Yt4,q4,yes,a1,,,"Furrowed eyebrows is a common sign of worry or concern, which is evident in the video and fits the context.",1,,,1,,,,0,55
bMuoPr5-Yt4,q5,yes,a2,,,"The woman highlighted a significant point, taking a brief pause and locking eyes with the interviewer to ensure its impact was fully understood.",1,,,1,,,,45,48
BTx-iiFZhFE,q1,yes,a0,,,"Although the girls attempted to laugh off the situation, their screams, wide-open eyes, and the way the girl in the backseat covered her mouth clearly indicate they were startled and scared.",,,,1,1,,,0,8
BTx-iiFZhFE,q4,yes,a1,,,The girls are frantically conversing with each other throughout the video because another driver disregarded the stop sign and narrowly missed colliding with their vehicle.,1,,,,,,,0,59
BTx-iiFZhFE,q2,yes,a3,,,"The front-seat passenger explicitly stated that she recorded the incident and repeatedly placed blame on the other driver, demonstrating her confidence in her perspective on the situation.",1,,,,,,,0,59
BTx-iiFZhFE,q3,yes,a0,a3,,"The woman in the backseat, with a slightly worried tone, advised the driver to pay attention, as both the recent incident and the frantic talking of the other passengers contributed to her concern about maintaining focus.",,1,1,,,1,,40,41
BX_0-SoMDcg,q1,yes,a1,,,"The man’s mildly irritated facial expression and dismissive hand gesture directed at the woman suggest he is annoyed, likely because the car is still in the parking lot.",1,,,1,1,,,0,3
BX_0-SoMDcg,q4,yes,a3,,,"The man said, “We’re still in the parking lot,” implying that there is no immediate danger present.",1,,,,,,,0,3
BX_0-SoMDcg,q2,yes,a3,,,"The woman's directive, \""You should stop talking,\"" accompanied by a talk-to-the-hand gesture, signifies her refusal to entertain any further excuses.",1,,,,1,,,44,46
BX_0-SoMDcg,q5,yes,a1,,,"he woman clearly stated, \""You know I worry,\"" indicating that her concern is about his safety, particularly in relation to wearing his seatbelt.",1,,,,,,,3,4
BX_0-SoMDcg,q3,yes,a2,,,"The man covering his face with his hands is a sign of regret, which is further indicated by his sudden stuttering and rapid speech.",,,,,1,1,,42,43
C2PneBztZ3g,q1,yes,a1,,,"Throughout the video, it is evident that the man leans in to maintain eye contact with the woman, demonstrating a clear interest in her story.",,,,1,1,,,0,59
C2PneBztZ3g,q2,yes,a0,a3,,"The man’s continuous focus on the woman, coupled with his laughter, smiling, and inquisitive questions, shows that he is highly engaged and interested in her story.",1,,,1,,,,0,59
C2PneBztZ3g,q3,no,,,,"The woman is recounting and vividly describing the moment when she persuaded her friend with great enthusiasm, but the answer choices do not capture this accurately.",,,,,,,Better answer choices that reflect the actual scene.,,
C2PneBztZ3g,q4,yes,a0,,,"Based on her anecdote, her friend was reluctant and complaining about getting on the boat to enter the swamp, so she made an effort to motivate and encourage her to go.",1,,,,,,,21,40
C2PneBztZ3g,q5,yes,a3,,,"As the answer implies, her constant smile and the emotional intensity with which she tells the story, including her use of body language, clearly show her enthusiasm for sharing this experience.",,,,1,1,1,,0,59
C2PneBztZ3g,q6,yes,a0,a2,,"Considering the talk show setting and the content of her narrative, it is apparent that she is intent on delivering an engaging and amusing story to captivate the audience.",1,1,,,,,,0,59
C2PneBztZ3g,q7,yes,a0,a3,,"As previously explained, the woman's tone, facial expressions, and hand gestures all clearly indicate her happiness and excitement.",,,,1,1,1,,0,59
C2PneBztZ3g,q8,yes,a1,a3,,"Throughout the video, the woman effectively conveys various perspectives by embodying different characters, altering her tone and voice to reflect each distinct viewpoint.",1,,,,,1,,0,59
C2PneBztZ3g,q9,yes,a1,,,"She was pretending to be Jada, who was complaining about the swamp tour, and used exaggerated hand movements to humorously mimic her complaints.",,,,,1,1,,23,26
C2PneBztZ3g,q10,yes,a3,,,"In the context of a talk show, both individuals are engaging each other and the audience professionally, with no additional details about their relationship provided.",,1,,,,,,0,59
C2PneBztZ3g,q11,yes,a0,a3,,"As already mentioned, Jimmy’s sustained focus on the woman, along with his laughter, smiling, and questions, demonstrates that he is highly interested and finds the story amusing.",1,,,1,1,,,0,59
cQREa5Y-jqk,q1,yes,a2,a3,,"Based on the man's story, it's clear he was recounting a humorous experience with coffee from when he was around ten. The woman's reaction, as evidenced by her expressions, suggests she found the story both amusing and endearing.",1,,,1,,1,,33,35
cQREa5Y-jqk,q2,yes,a2,,,"The woman's response, \""That's amazing,\"" along with her subsequent praise and approving nod, indicates that she is both surprised and impressed by the man's decision.",1,,,,1,,,48,55
cQREa5Y-jqk,q3,yes,a2,,,"Upon hearing that the man cried after drinking coffee as a child, she pouts her lips and adopts a sympathetic expression to convey her empathy while he shares his story.",1,,,1,,,,35,36
cQREa5Y-jqk,q4,yes,a3,,,"The man comes across as both likable and sincere, and his detailed story seems entirely credible, without any indication of being contrived.",1,,,,,1,,15,48
cQREa5Y-jqk,q5,yes,a0,,,"The man tried to open up by recounting a personal story from his youth, a common method for building a connection and gaining others' trust.",1,,,,,,,15,48
cQREa5Y-jqk,q6,yes,a2,,,"The woman is clearly engaged with the man's story, nodding and varying her facial expressions to reflect her feelings as he speaks. She also remains focused on him throughout the video.",,,,1,1,,,15,48
cQREa5Y-jqk,q7,yes,a1,,,"The woman’s statement, \“You might be the only journalist I know who does not drink coffee,\” implies that she did not expect him to abstain from coffee altogether.",1,,,,,,,49,51
cQREa5Y-jqk,q8,yes,a0,,,"The posture, facial expressions, and tone of both the man and the woman indicate a relaxed and lighthearted atmosphere.",,,,1,1,1,,0,59
cQREa5Y-jqk,q9,yes,a0,a1,,"Although other emotions, such as empathy, are present, the woman effectively conveys her feelings through her facial expressions. It is clear that she cares about and is entertained by the man's story.",,,,1,,,,15,48
cQREa5Y-jqk,q10,yes,a1,,,"The woman's statement, \""Like, I need coffee to survive, but not energy drinks as much,\"" clearly indicates her strong preference for coffee over energy drinks.",1,,,,,,,9,13
cQREa5Y-jqk,q11,yes,a1,,,"The comment, \""That's amazing. You might be the only journalist I know who does not drink coffee,\"" suggests she is both surprised and impressed by his complete abstinence from coffee.",1,,,,,,,48,51
cQREa5Y-jqk,q12,no,,,,None of the answer choices actually address how they feel about each other.,,,,,,,Better answer choices that align with the question.,,
cQREa5Y-jqk,q13,yes,a0,a1,,"It can be deduced from the man's dramatic retelling of his past experience, including his hand gestures and wide eyes, that he was surprised by his unexpected reaction to coffee, which led him to avoid drinking it since then.",1,,,1,1,1,,30,45
cQREa5Y-jqk,q14,yes,a0,,,"The tone, relaxed demeanor, and casual nature of the conversation suggest they are comfortable with each other.",1,,,,1,1,,0,59
cQREa5Y-jqk,q15,no,,,,"The woman clearly stated at the beginning that she has a preference for coffee, so none of the answer choices accurately reflect the content of the video.",,,,,,,Better answer choices that reflect the actual scene.,,
cQREa5Y-jqk,q16,yes,a3,,,"It was evident that the woman paused briefly to think, letting out a self-conscious laugh before appearing embarrassed to honestly tell the truth. She likely believed it was normal to consume energy drinks. She followed up with, \""I have coffee.\"" to compensate for not drinking energy drinks.",1,,,1,,1,,3,13
cQREa5Y-jqk,q17,yes,a1,a2,,"From the video, it can be inferred that the two are developing a personal connection in a friendly manner, as evidenced by the scene's atmosphere, their tone, and their happy facial expressions.",,1,,1,,1,,0,59
cQREa5Y-jqk,q18,yes,a3,,,"At this moment, the man's body language clearly reveals that he is engulfed in uncontrollable laughter, characterized by his broad, energetic movements. This typically conveys his happiness.",,,,1,1,1,,51,52
cQREa5Y-jqk,q19,yes,a0,,,"As previously mentioned, the woman, based on her pause and self-conscious laugh, appeared slightly embarrassed when she truthfully admitted her habits. ",,,,1,,1,,5,13
cQREa5Y-jqk,q20,yes,a2,,,"Based on the video, it can be confirmed that the man nodded and said \""yeah\"" to agree with the woman.",1,,,,1,,,49,50
cQREa5Y-jqk,q21,yes,a0,,,"The woman pouted her lips and wore a sad expression, suggesting she felt somewhat empathetic.",,,,1,,,,35,36
cQREa5Y-jqk,q22,yes,a0,a3,,"Throughout the video, both their facial expressions and tones suggest they are happy and amicable towards each other.",,,,1,,1,,0,59
cQREa5Y-jqk,q23,yes,a3,,,"The content of her speech, specifically her remarks about how she thought it was amazing and cool, and that he is the only journalist she knows who doesn't drink coffee at all, indicates she was likely surprised and did not expect such a life-changing reaction.",1,,,,,,,48,53
ctHj7R35dL0,q1,yes,a1,,,"The man in the blue suit clearly said, \""I don't understand this, Mr. President. Like, how does lowering a corporate tax help anyone except the corporations?\"" This implies he is confused and does not see the point of the policy",1,,,,,,,17,24
ctHj7R35dL0,q2,yes,a2,,,"The man in the blue suit, whispering \""just nuts\"" while the other man spoke, signifies his profound disbelief.",1,,1,,,1,,30,31
ctHj7R35dL0,q3,yes,a0,a2,,"The man with the orange face made an emphatic hand gesture, labeling it as fake news, and proceeded to talk about how he tips all the time.",1,,1,,1,1,,39,42
ctHj7R35dL0,q4,yes,a2,,,"The man's expression of disbelief, with narrowed eyes and a look of disdain, silently questioning what the other man was talking about, coupled with whispered disagreement while the other man spoke, clearly indicates he thinks the metaphors are inaccurate.",1,,,1,,1,,27,39
ctHj7R35dL0,q5,yes,a1,a3,,"The man, clearly lacking space due to the man in the red tie behind him, wore a confused expression and, after struggling to find the right words, directed him to walk forward.",1,,,1,1,1,,0,9
CuDdMyf639Q,q1,yes,a2,a3,,"The woman in the black dress waved her hands energetically upon receiving a message from Summerscarf, her excitement and joy apparent in both her tone and wide smile.",,,1,1,1,1,,0,5
CuDdMyf639Q,q2,yes,a0,a2,,"The woman with short blonde hair clutched her hands to her chest while the woman in the black dress read aloud from her computer, her mouth agape and her eyes wide open. She seemed to await the other woman's words with bated breath.",,,,1,1,,,10,12
CuDdMyf639Q,q3,yes,a0,,,"The rolling of her eyes could convey various sentiments, but her immediate smile afterward suggests she was relieved that the man has an ideal sense of humor.",,,,1,,,,19,21
CuDdMyf639Q,q4,no,,,,"She evidently did not believe that the woman in the blue shirt had the same dream, but none of the answer choices reflect this. Although annoyed is an apt description, she displayed no signs of surprise.",,,,,,,Better answer choices that reflect the actual scene.,,
CuDdMyf639Q,q5,yes,a3,,,"The woman raised her voice, animatedly gesticulating with her hands, and read aloud with a singsong quality, similar to the upbeat manner described in the answer.",,,,,1,1,,8,15
CYZ3phylT7Y,q1,yes,a0,,,"The man said, \""You're gonna end up like Mutata. Or worse, me,\"" implying that his life did not turn out as he had envisioned.",1,,,,,,,34,37
CYZ3phylT7Y,q2,yes,a2,,,"Based on the content, it is evident that the man with the basketball is offering the younger man friendly life advice. This is further reflected in their tone and the fact that such personal issues are typically discussed only between individuals who are comfortable with each other.",1,,,,,1,,0,59
CYZ3phylT7Y,q3,no,,,,"Although the man sitting on the floor reveals he is reluctant and not confident, none of his reactions indicate that he finds it ridiculous. Therefore, an appropriate answer could not be selected.",,,,,,,Better answer choices that reflect the actual scene.,,
CYZ3phylT7Y,q4,yes,a2,,,"The man with the basketball remarked, \'""That's the part where you go, 'Hey, Bobby, your life's not that bad,'\"" indicating he expected a consoling comment. Realizing this, the other man raised his hand in a gesture of apology while verbally expressing his regret.",1,,,,1,1,,44,45
CYZ3phylT7Y,q5,yes,a2,,,"Throughout the video, the man with the basketball remained composed and at ease, crossing his legs in the air and casually playing around with the ball.",,,,,1,,,0,59
d89i7OY2yTw,q1,yes,a3,,,"The woman in the white shirt is seen closing her eyes and savoring the food, exclaiming, \""Oh my God, this mac and cheese is so good,\"" suggesting she is pleasantly surprised by the taste.",1,,1,1,,,,48,58
d89i7OY2yTw,q2,yes,a1,,,"The man forms an 'O' with his mouth and brings his hands to his face while the waiter describes the food items, his facial expression unmistakably conveying his amazement and excitement to eat.",1,,,1,1,,,35,37
d89i7OY2yTw,q3,yes,a1,a3,,"The exclamation \""Colin, you are an animal, Colin,\"" when they began eating, suggests a big appetite and is a common phrase used to describe such eating habits.",1,1,,,,,,45,47
d89i7OY2yTw,q4,yes,a3,,,The scene's context makes it unequivocally clear that the woman in the apron is serving food to the guests.,,1,,,,,,15,42
d89i7OY2yTw,q5,yes,a1,,,"Based on the fact that she is the server, it is evident that she is knowledgeable about the food items, which is also apparent from the conversation.",1,1,,,,,,15,42
DGLGNr9M7fY,q1,yes,a0,,,"The woman spreads her arms wide while saying \""Welcome,\"" a customary gesture in Western culture when hosting guests.",1,,,,1,,,1,4
DGLGNr9M7fY,q2,no,,,,"The woman likely hugs the man to greet him, but it is unclear if it has been a long time since they last met, so an answer choice could not be determined.",Context regarding the time since the two last met is needed,,,,,,,,
DGLGNr9M7fY,q3,yes,a3,,,"The woman, clasping her hands in front of her to emphasize her words, comes across as condescending due to the dominant posture.",,,,,1,,,11,15
DGLGNr9M7fY,q4,yes,a0,,,"It is evident that the woman appraises the man's physical appearance, standing before him and inspecting him from head to toe while directly commenting on it.",1,,,1,1,,,11,20
